Team,Season,Week,Date,Opp
Seattle Seahawks,1999,13,1999-12-05,Oakland Raiders
Seattle Seahawks,1999,14,1999-12-12,San Diego Chargers
Seattle Seahawks,1999,15,1999-12-19,Denver Broncos
Seattle Seahawks,1999,16,1999-12-26,Kansas City Chiefs
Seattle Seahawks,1999,17,2000-01-02,New York Jets
Seattle Seahawks,1999,18,2000-01-09,Miami Dolphins
Seattle Seahawks,2000,1,2000-09-03,Miami Dolphins
Seattle Seahawks,2000,2,2000-09-10,St. Louis Rams
Seattle Seahawks,2000,3,2000-09-17,New Orleans Saints
Seattle Seahawks,2000,4,2000-09-24,San Diego Chargers
Seattle Seahawks,2000,5,2000-10-02,Kansas City Chiefs
Seattle Seahawks,2000,6,2000-10-08,Carolina Panthers
Seattle Seahawks,2000,7,2000-10-15,Indianapolis Colts
Seattle Seahawks,2000,8,2000-10-22,Oakland Raiders
Seattle Seahawks,2000,9,2000-10-29,Kansas City Chiefs
Seattle Seahawks,2000,10,2000-11-05,San Diego Chargers
Seattle Seahawks,2000,11,2000-11-12,Jacksonville Jaguars
Seattle Seahawks,2000,13,2000-11-26,Denver Broncos
Seattle Seahawks,2000,14,2000-12-03,Atlanta Falcons
Seattle Seahawks,2000,15,2000-12-10,Denver Broncos
Seattle Seahawks,2000,16,2000-12-16,Oakland Raiders
Seattle Seahawks,2000,17,2000-12-23,Buffalo Bills
Seattle Seahawks,2001,1,2001-09-09,Cleveland Browns
Seattle Seahawks,2001,2,2001-09-23,Philadelphia Eagles
Seattle Seahawks,2001,3,2001-09-30,Oakland Raiders
Seattle Seahawks,2001,4,2001-10-07,Jacksonville Jaguars
Seattle Seahawks,2001,5,2001-10-14,Denver Broncos
Seattle Seahawks,2001,7,2001-10-28,Miami Dolphins
Seattle Seahawks,2001,8,2001-11-04,Washington Redskins
Seattle Seahawks,2001,9,2001-11-11,Oakland Raiders
Seattle Seahawks,2001,10,2001-11-18,Buffalo Bills
Seattle Seahawks,2001,11,2001-11-25,Kansas City Chiefs
Seattle Seahawks,2001,12,2001-12-02,San Diego Chargers
Seattle Seahawks,2001,13,2001-12-09,Denver Broncos
Seattle Seahawks,2001,14,2001-12-16,Dallas Cowboys
Seattle Seahawks,2001,15,2001-12-23,New York Giants
Seattle Seahawks,2001,16,2001-12-30,San Diego Chargers
Seattle Seahawks,2001,17,2002-01-06,Kansas City Chiefs
Seattle Seahawks,2002,1,2002-09-08,Oakland Raiders
Seattle Seahawks,2002,2,2002-09-15,Arizona Cardinals
Seattle Seahawks,2002,3,2002-09-22,New York Giants
