Season,Week,Player,Team,Position,Injuries,Game Status
2021,16,James Conner,ARI,RB,Heel,Questionable
2021,17,Kareem Hunt,CLE,RB,Ankle,Questionable
2021,17,Clyde Edwards-Helaire,KAN,RB,Shoulder,Questionable
2022,1,J.K. Dobbins,BAL,RB,Knee,Questionable
2022,3,Alvin Kamara,NOR,RB,Rib,Questionable
2022,3,Leonard Fournette,TAM,RB,Hamstring,Questionable
2022,6,Justice Hill,BAL,RB,Hamstring,Doubtful
2022,6,Rico Dowdle,DAL,RB,Ankle,Out
2022,9,Gus Edwards,BAL,RB,Hamstring,Doubtful
2022,12,Leonard Fournette,TAM,RB,Hip,Doubtful
2022,14,Saquon Barkley,NYG,RB,Neck,Questionable
2022,14,Hassan Haskins,TEN,RB,Hip,Questionable
2022,15,Dontrell Hilliard,TEN,RB,Neck,Out
2022,16,Rhamondre Stevenson,NWE,RB,Ankle,Questionable
2023,1,Kenny McIntosh,SEA,RB,"Knee, Hamstring",Out
2023,2,Aaron Jones,GNB,RB,Hamstring,Questionable
2023,5,Saquon Barkley,NYG,RB,Ankle,Questionable
2023,6,Roschon Johnson,CHI,RB,Concussion,Out
2023,6,Adam Prentice,NOR,FB,Knee,Out
2023,7,Zach Charbonnet,SEA,RB,Hamstring,Questionable
2023,10,Jakob Johnson,LVR,FB,Concussion,Questionable
2023,11,Rico Dowdle,DAL,RB,Ankle,Questionable
2023,13,Jonathan Taylor,IND,RB,Thumb,Out
2023,13,Breece Hall,NYJ,RB,Hamstring,Questionable
2023,14,Christopher Brooks,MIA,RB,Knee,Questionable
2024,2,Khari Blasingame,CHI,FB,"Hand, Knee",Out
2024,2,Dameon Pierce,HOU,RB,Hamstring,Questionable
2024,4,Jaylen Warren,PIT,RB,Knee,Out
2024,5,Nyheim Miller-Hines,CLE,RB,Knee,Out
2024,5,Dameon Pierce,HOU,RB,Hamstring,Questionable
2024,6,Nyheim Miller-Hines,CLE,RB,Knee,Out
2024,6,Devin Singletary,NYG,RB,Groin,Questionable
2024,7,Nyheim Miller-Hines,CLE,RB,Knee,Questionable
2024,9,Sione Vaki,DET,RB,Knee,Doubtful
2024,9,Tank Bigsby,JAX,RB,Ankle,Questionable
2024,9,Tony Pollard,TEN,RB,Foot,Questionable
2024,13,J.K. Dobbins,LAC,RB,Knee,Out
2024,15,Breece Hall,NYJ,RB,Knee,Questionable
2024,16,Trey Benson,ARI,RB,Ankle,Out
2024,18,Will Shipley,PHI,RB,Concussion,Questionable
2005,16,Domanick Williams,HOU,RB,Knee,Questionable
2005,16,Rich Alexis,JAX,RB,Groin,Questionable
2005,15,Heath Evans,MIA,RB,Shoulder,Questionable
2005,16,Jim Finn,NYG,RB,Ankle,Questionable
2006,12,Cedric Cobbs,DEN,RB,Ankle,Probable
2007,15,Frank Gore,SFO,RB,Ankle,Probable
2007,14,Clinton Portis,WAS,RB,Shoulder,Probable
2007,14,Mike Sellers,WAS,RB,Back,Probable
2008,13,Jerious Norwood,ATL,RB,Rib,Questionable
2008,11,Michael Turner,ATL,RB,Hand,Probable
2008,16,Korey Hall,GNB,RB,Knee,Questionable
2008,16,Adrian Peterson,MIN,RB,Ankle,Probable
2008,12,Darren McFadden,OAK,RB,Toe,Probable
2008,10,Travis Minor,STL,RB,Concussion,Questionable
2008,14,Clinton Portis,WAS,RB,"Knee, Neck",Questionable
2010,3,Laurence Maroney,NWE,RB,Thigh,Probable
2010,6,Andre Brown,WAS,RB,Illness,Probable
2011,11,Tashard Choice,BUF,RB,Hamstring,Probable
2008,10,Jonathan Stewart,CAR,RB,Heel,Questionable
2008,12,Reggie Bush,NOR,RB,Knee,Questionable
2008,15,Correll Buckhalter,PHI,RB,Knee,Probable
2010,3,Deon Anderson,MIA,RB,Knee,Out
2010,15,DeShawn Wynn,NOR,RB,Ankle,Probable
2008,10,Fred Taylor,JAX,RB,Knee,Probable
2010,14,DeShawn Wynn,NOR,RB,Ankle,Doubtful
2008,1,Deuce McAllister,NOR,RB,Knee,Questionable
2008,11,Mike Karney,NOR,RB,Knee,Out
2011,8,Tashard Choice,WAS,RB,Shoulder,Questionable
2008,1,Kenny Watson,CIN,RB,Hamstring,Probable
2009,3,Adrian Peterson,CHI,RB,Back,Probable
2017,17,Matt Dayes,CLE,RB,Knee,Questionable
2017,4,Jay Ajayi,PHI,RB,Knee,Questionable
2021,6,Alexander Mattison,MIN,RB,,Questionable
2014,3,Montell Owens,CHI,RB,Hamstring,Doubtful
2017,7,Andre Ellington,HOU,RB,Quadricep,Questionable
2021,5,Jordan Wilkins,TEN,RB,Non-Football Illness,Out
2023,15,Chris Brooks,MIA,RB,Knee,Questionable
2024,8,Darrynton Evans,CHI,RB,Hamstring,Doubtful
2024,6,Nyheim Hines,CLE,RB,Knee,Out
2001,11,Emmitt Smith,DAL,RB,Knee,Probable
2009,1,Brandon Jackson,GNB,RB,Ankle,Doubtful
2009,2,Jonathan Stewart,CAR,RB,Heel,Probable
2009,2,Vonta Leach,HOU,RB,Knee,Questionable
2009,3,Jerome Felton,DET,RB,Ankle,Probable
