Date,Team,Acq,Rel,Notes,Acquired,Relinquished
8/24/1997,Ravens,,• Byron Morris / Bam Morris,suspended by NFL,#VALUE!,Byron Morris / Bam Morris
8/24/1997,Redskins,,• Michael Westbrook,"fined $50,000 by team for fighting with teammate in practice",#VALUE!,Michael Westbrook
8/27/1997,Eagles,,• Matt Stevens (Brian),suspended by NFL for first 4 games of season for violating the league's policy on steroid abuse,#VALUE!,Matt Stevens (Brian)
9/22/1997,Ravens,• Byron Morris / Bam Morris,,reinstated from suspension,Byron Morris / Bam Morris,#VALUE!
9/22/1997,Vikings,• Artie Ulmer,,reinstated from suspension,Artie Ulmer,#VALUE!
9/29/1997,Eagles,• Matt Stevens (Brian),,reinstated from suspension,Matt Stevens (Brian),#VALUE!
10/6/1997,Eagles,• Matt Stevens (Brian),,reinstated from suspension,Matt Stevens (Brian),#VALUE!
10/13/1997,Dolphins,• Clayton Holmes,,reinstated from suspension,Clayton Holmes,#VALUE!
10/13/1997,Falcons,• Scott Davis (L.),,reinstated from suspension,Scott Davis (L.),#VALUE!
10/13/1997,Panthers,• Shawn King,,reinstated from suspension,Shawn King,#VALUE!
11/5/1997,Bears,,• Alonzo Spellman,suspended by team indefinitely,#VALUE!,Alonzo Spellman
12/1/1997,Cowboys,• Leon Lett,,reinstated from suspension,Leon Lett,#VALUE!
4/30/1998,Oilers,• Kendrick Burton,,reinstated from suspension,Kendrick Burton,#VALUE!
8/13/1998,Saints,,• Andre Royal,fined by team for cursing at head coach,#VALUE!,Andre Royal
8/25/1998,49ers,,• Jamie Brown,suspended by team for 3 weeks for conduct detrimental to the team,#VALUE!,Jamie Brown
8/30/1998,Steelers,,• Paul Wiggins,suspended by NFL (date approximate),#VALUE!,Paul Wiggins
8/30/1998,Steelers,,• Paul Wiggins,placed on reserve/suspended list,#VALUE!,Paul Wiggins
9/15/1998,49ers,• Jamie Brown,,reinstated from suspension,Jamie Brown,#VALUE!
9/28/1998,Steelers,• Paul Wiggins,,reinstated from suspension,Paul Wiggins,#VALUE!
9/30/1998,Lions,,• Mark Carrier (Anthony),suspended by NFL,#VALUE!,Mark Carrier (Anthony)
10/5/1998,Lions,• Mark Carrier (Anthony),,reinstated from suspension,Mark Carrier (Anthony),#VALUE!
11/18/1998,Vikings,,• Bob Sapp,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Bob Sapp
12/4/1998,Browns,,• Carmen Policy,"fined as president $10,000 by NFL for comments violating tampering rules",#VALUE!,Carmen Policy
12/14/1998,Panthers,,• Kevin Greene (Darwin),suspended by team for 1 games for physically confronting linebackers coach,#VALUE!,Kevin Greene (Darwin)
12/15/1998,Vikings,• Bob Sapp,,reinstated from suspension,Bob Sapp,#VALUE!
12/23/1998,Packers,,• Jude Waddy,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Jude Waddy
12/23/1998,Packers,,• Jude Waddy,placed on reserve/suspended list,#VALUE!,Jude Waddy
3/25/1999,Packers,• Jude Waddy,,reinstated from suspension,Jude Waddy,#VALUE!
3/31/1999,Rams,,• Tyji Armstrong,placed on reserve/suspended list,#VALUE!,Tyji Armstrong
7/16/1999,Rams,,• Leonard Little,suspended by NFL for first 8 games of 1999-00 season for violating of the league's substance abuse policy,#VALUE!,Leonard Little
9/5/1999,Bengals,,• Tremain Mack,placed on reserve/suspended list,#VALUE!,Tremain Mack
9/5/1999,Packers,,• Jude Waddy,placed on reserve/suspended list,#VALUE!,Jude Waddy
9/5/1999,Rams,,• Leonard Little,placed on reserve/suspended list,#VALUE!,Leonard Little
9/5/1999,Steelers,,• Harold Bishop,placed on reserve/suspended list,#VALUE!,Harold Bishop
9/5/1999,Bengals,,• Jamain Stephens,suspended by NFL,#VALUE!,Jamain Stephens
9/5/1999,Titans,,• Josh Evans (a),suspended by NFL for 4 games for failing drug tests,#VALUE!,Josh Evans (a)
9/5/1999,Bengals,,• Jamain Stephens,placed on reserve/suspended list,#VALUE!,Jamain Stephens
9/5/1999,Titans,,• Josh Evans (a),placed on reserve/suspended list,#VALUE!,Josh Evans (a)
9/20/1999,Packers,• Jude Waddy,,reinstated from suspension,Jude Waddy,#VALUE!
9/20/1999,Packers,• Jude Waddy,,reinstated from reserve/suspended list,Jude Waddy,#VALUE!
10/4/1999,Lions,,• Bobby Ross,"fined as head coach $10,000 by NFL for violating policy on public criticism of officiating",#VALUE!,Bobby Ross
10/4/1999,Steelers,• Harold Bishop,,reinstated from suspension,Harold Bishop,#VALUE!
10/4/1999,Bengals,• Jamain Stephens,,reinstated from suspension,Jamain Stephens,#VALUE!
10/4/1999,Bengals,• Tremain Mack,,reinstated from suspension,Tremain Mack,#VALUE!
10/4/1999,Titans,• Josh Evans (a),,reinstated from suspension,Josh Evans (a),#VALUE!
10/4/1999,Bengals,• Jamain Stephens,,reinstated frrom reserve/suspended list,Jamain Stephens,#VALUE!
10/4/1999,Bengals,• Tremain Mack,,reinstated from reserve/suspended list,Tremain Mack,#VALUE!
10/4/1999,Titans,• Josh Evans (a),,reinstated from reserve/suspended list,Josh Evans (a),#VALUE!
10/18/1999,Saints,,• Mike Ditka,"fined as head coach $20,000 by NFL for inappropriate conduct after game",#VALUE!,Mike Ditka
10/20/1999,Rams,,• Tony Horne,placed on reserve/suspended list,#VALUE!,Tony Horne
10/21/1999,49ers,,• Travis Jervey,4 games,#VALUE!,Travis Jervey
10/29/1999,Broncos,,• Cyron Brown,suspended by NFL for 4 games for vioalting the league's substance abuse policy,#VALUE!,Cyron Brown
10/29/1999,Broncos,,• Cyron Brown,placed on reserve/suspended linst,#VALUE!,Cyron Brown
11/2/1999,Chargers,,• Ryan Leaf,suspended by team for 4 weeks and fined 1 week's salary for conduct detrimental to the team,#VALUE!,Ryan Leaf
11/9/1999,Cowboys,• Leon Lett,,reinstated from suspension,Leon Lett,#VALUE!
11/9/1999,Rams,• Leonard Little,,reinstated from suspension,Leonard Little,#VALUE!
11/9/1999,Rams,• Leonard Little,,reinstated from reserve/suspended list,Leonard Little,#VALUE!
11/16/1999,Rams,• Tony Horne,,reinstated from suspension,Tony Horne,#VALUE!
11/21/1999,Colts,,• Shawn King,suspended by team for 1 games for violating team rules,#VALUE!,Shawn King
11/21/1999,Colts,,• Tito Wooten,suspended by team for 1 games for violating team rules,#VALUE!,Tito Wooten
11/23/1999,Colts,,• Shawn King,placed on reserve/suspended list,#VALUE!,Shawn King
11/23/1999,Colts,,• Tito Wooten,placed on reserve/suspended list,#VALUE!,Tito Wooten
11/23/1999,Giants,,• Lyle West,suspended by NFL for 4 games for testing positive for steroids,#VALUE!,Lyle West
11/23/1999,Lions,,• Mark Carrier (Anthony),suspended by NFL,#VALUE!,Mark Carrier (Anthony)
11/23/1999,49ers,• Travis Jervey,,reinstated from suspension,Travis Jervey,#VALUE!
11/23/1999,Broncos,• Cyron Brown,,reinstated from suspension,Cyron Brown,#VALUE!
11/24/1999,Jets,,• Jason Ferguson,suspended by NFL for 4 games for violation of the league's steroid policy,#VALUE!,Jason Ferguson
11/29/1999,Lions,• Mark Carrier (Anthony),,reinstated from suspension,Mark Carrier (Anthony),#VALUE!
12/1/1999,Bears,,• Jim Miller (Donald),suspended by NFL for 4 games,#VALUE!,Jim Miller (Donald)
12/3/1999,Panthers,,• Kevin Greene (Darwin),"fined $7,500 by NFL for illegal hit to the head of opposing quarterback",#VALUE!,Kevin Greene (Darwin)
12/16/1999,Bills,,• Eric Moulds,"fined $5,000 by NFL for making a throat-slash gesture",#VALUE!,Eric Moulds
12/16/1999,Dolphins,,• Cecil Collins,suspended by team indefinitely after being arrested on a burglary charge,#VALUE!,Cecil Collins
12/20/1999,Broncos,,• Bill Romanowski,"fined $10,000 by NFL for hit to head of opposing player",#VALUE!,Bill Romanowski
12/20/1999,Broncos,,• Dan Neil,"fined $5,000 by NFL for chop block",#VALUE!,Dan Neil
12/20/1999,Buccaneers,,• Shaun King,suspended by NFL for at least 1 year for violating the league's drug and alcohol policy,#VALUE!,Shaun King
12/21/1999,Giants,• Lyle West,,reinstated from suspension,Lyle West,#VALUE!
12/21/1999,Jets,• Jason Ferguson,,reinstated from suspension,Jason Ferguson,#VALUE!
12/23/1999,Browns,,• Orlando Brown (Sr.),suspended by NFL indefinitely for shoving referee,#VALUE!,Orlando Brown (Sr.)
12/29/1999,Patriots,,• Terry Glenn,suspended by team for 1 games for missing practice,#VALUE!,Terry Glenn
1/4/2000,Bears,• Jim Miller (Donald),,reinstated from suspension,Jim Miller (Donald),#VALUE!
1/17/2000,Colts,,• Shawn King,suspended by NFL for 1 year for violating the league's drug and alcohol policy (date approximate),#VALUE!,Shawn King
3/1/2000,Browns,• Orlando Brown (Sr.),,reinstated from suspension,Orlando Brown (Sr.),#VALUE!
3/1/2000,Titans,,• Josh Evans (a),suspended by NFL for 2000 season for violating the league's substance abuse policy,#VALUE!,Josh Evans (a)
3/14/2000,Bengals,,• Matt O'Dwyer,suspended by NFL for 2 games for his involvement in a fight outside a bar,#VALUE!,Matt O'Dwyer
3/14/2000,Jets,,• Jason Fabini,"fined $14,000 by NFL for his involvement in the bar fight",#VALUE!,Jason Fabini
3/14/2000,Jets,,• John Elliott (b) / Jumbo Elliott,suspended by NFL for 2 games for his involvement in a fight outside a bar,#VALUE!,John Elliott (b) / Jumbo Elliott
3/14/2000,Titans,,• Denard Walker,suspended by NFL for 2 games after pleading guilty to assault on the mother of his son,#VALUE!,Denard Walker
3/16/2000,Packers,• Ronald Davis / Ron Davis,,reinstated from suspension,Ronald Davis / Ron Davis,#VALUE!
4/12/2000,Ravens,,• Larry Webster Jr.,suspended by NFL for at least 1 year for violating the league's substance abuse policy,#VALUE!,Larry Webster Jr.
8/27/2000,Jets,,• John Elliott (b) / Jumbo Elliott,placed on reserve/suspended list,#VALUE!,John Elliott (b) / Jumbo Elliott
8/27/2000,Titans,,• Denard Walker,placed on reserve/suspended list,#VALUE!,Denard Walker
8/27/2000,Redskins,,• Tre Johnson / Tre' Johnson,suspended by NFL,#VALUE!,Tre Johnson / Tre' Johnson
8/27/2000,Redskins,,• Tre Johnson / Tre' Johnson,placed on reserve/suspended list,#VALUE!,Tre Johnson / Tre' Johnson
8/24/2000,Cardinals,,• Mario Bates,1 games,#VALUE!,Mario Bates
9/4/2000,Bengals,,• Matt O'Dwyer,player began serving suspension,#VALUE!,Matt O'Dwyer
9/4/2000,Jets,• John Elliott (b) / Jumbo Elliott,,reinstated from suspension,John Elliott (b) / Jumbo Elliott,#VALUE!
9/4/2000,Lions,• Mario Bates,,reinstated from suspension,Mario Bates,#VALUE!
9/4/2000,Redskins,• Tre Johnson / Tre' Johnson,,reinstated from suspension,Tre Johnson / Tre' Johnson,#VALUE!
9/4/2000,Titans,• Denard Walker,,reinstated from suspension,Denard Walker,#VALUE!
9/8/2000,Redskins,,• Mark Carrier (Anthony)?,suspended by NFL,#VALUE!,Mark Carrier (Anthony)?
9/11/2000,Bengals,• Matt O'Dwyer,,reinstated from suspension,Matt O'Dwyer,#VALUE!
9/11/2000,Redskins,• Mark Carrier (Anthony)?,,reinstated from suspension,Mark Carrier (Anthony)?,#VALUE!
9/20/2000,Colts,,• Mustafah Muhammad,suspended by NFL,#VALUE!,Mustafah Muhammad
9/25/2000,49ers,,• Terrell Owens,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,Terrell Owens
10/2/2000,Colts,• Mustafah Muhammad,,reinstated from suspension,Mustafah Muhammad,#VALUE!
11/6/2000,Ravens,• Larry Webster Jr.,,reinstated from suspension,Larry Webster Jr.,#VALUE!
12/3/2000,Raiders,,• Regan Upshaw,"fined $29,000 for spitting in face of opposing player",#VALUE!,Regan Upshaw
12/20/2000,Patriots,,• Ty Law,suspended by team for 1 games,#VALUE!,Ty Law
12/21/2000,Chargers,,• Junior Seau,"fined $7,500 by NFL for helmet-to-helmet hit on opposing quarterback",#VALUE!,Junior Seau
1/17/2001,Colts,• Shawn King,,reinstated from suspension,Shawn King,#VALUE!
1/17/2001,Vikings,,• John Randle,"fined $7,500 by NFL for public display of obscenity during playoff game",#VALUE!,John Randle
4/16/2001,Titans,• Josh Evans (a),,reinstated from suspension,Josh Evans (a),#VALUE!
6/12/2001,Broncos,• Cyron Brown,,reinstated from suspension,Cyron Brown,#VALUE!
7/20/2001,Packers,,• Cletidus Hunt,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Cletidus Hunt
