Date,Team,Acq,Rel,Notes,Acquired,Relinquished
8/7/2001,Raiders,,• Darrell Russell,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Darrell Russell
8/15/2001,Patriots,,• Terry Glenn,suspended by team for the 2001 season for failing to return to camp after being suspended by the league,#VALUE!,Terry Glenn
9/2/2001,Jaguars,,• R.Jay Soward,placed on reserve/suspended list,#VALUE!,R.Jay Soward
9/2/2001,Packers,,• Cletidus Hunt,placed on reserve/suspended list,#VALUE!,Cletidus Hunt
9/2/2001,Patriots,,• Terry Glenn,suspended by NFL,#VALUE!,Terry Glenn
9/2/2001,Raiders,,• Darrell Russell,placed on reserve/suspended list,#VALUE!,Darrell Russell
7/26/2001,Cardinals,,• Michael Pittman,1 games,#VALUE!,Michael Pittman
9/12/2001,Patriots,,• Terry Glenn,team suspension reduced to 4 games by arbitrator,#VALUE!,Terry Glenn
10/1/2001,Redskins,,• Dorian Boose,suspended by NFL,#VALUE!,Dorian Boose
10/4/2001,Browns,,• Gerard Warren,fined $35K by NFL for hit to opposing quarterback,#VALUE!,Gerard Warren
10/4/2001,Raiders,,• Elijah Alexander,suspended by NFL for 1 games for hit on opposing quarterback,#VALUE!,Elijah Alexander
10/5/2001,Bears,,• Henry Taylor,suspended by NFL for 4 games for violating the league's anabolic steroid and related substance policy,#VALUE!,Henry Taylor
10/8/2001,Ravens,,• Leon Searcy,suspended by NFL,#VALUE!,Leon Searcy
10/8/2001,Redskins,• Dorian Boose,,reinstated from suspension,Dorian Boose,#VALUE!
10/8/2001,Packers,• Cletidus Hunt,,reinstated from suspension,Cletidus Hunt,#VALUE!
10/8/2001,Patriots,• Terry Glenn,,reinstated from suspension,Terry Glenn,#VALUE!
10/8/2001,Raiders,• Darrell Russell,,reinstated from suspension,Darrell Russell,#VALUE!
10/15/2001,Ravens,• Leon Searcy,,reinstated from suspension,Leon Searcy,#VALUE!
10/29/2001,Bears,• Henry Taylor,,reinstated from suspension,Henry Taylor,#VALUE!
11/17/2001,Ravens,,• Jamal Lewis (a),suspended by NFL,#VALUE!,Jamal Lewis (a)
11/26/2001,Jaguars,• R.Jay Soward,,reinstated from suspension,R.Jay Soward,#VALUE!
11/27/2001,Seahawks,,• Shawn Springs,suspended by NFL for 2 games for violation of the league's performance enhancing drug policy,#VALUE!,Shawn Springs
12/10/2001,Bills,,• Peerless Price,"fined $30,000 by NFL for striking opposing player after end of game",#VALUE!,Peerless Price
12/10/2001,Lions,,• Tommy Bennett,suspended by NFL for 4 games for violation of the league's policy banning steroid use,#VALUE!,Tommy Bennett
1/3/2002,Raiders,,• Darrell Russell,suspended by NFL for 1 year for violating the league's substance abuse policy,#VALUE!,Darrell Russell
1/8/2002,Bears,,• Daimon Shelton,suspended by NFL for 4 games for violating the NFL's substance abuse policy,#VALUE!,Daimon Shelton
1/9/2002,Jaguars,,• R.Jay Soward,suspended by NFL for 1 year for violating the NFL's substance abuse policy,#VALUE!,R.Jay Soward
1/9/2002,Patriots,,• Terry Glenn,suspended by team for remainder of the season,#VALUE!,Terry Glenn
5/23/2002,Panthers,,• Rashard Anderson,suspended by NFL for 1 year for violating the league's substance abuse policy,#VALUE!,Rashard Anderson
7/19/2002,Saints,,• Dale Carter,suspended by NFL for 2002 season for violating the league's substance abuse policy,#VALUE!,Dale Carter
9/1/2002,Bills,,• Reggie Germany,placed on reserve/suspended list,#VALUE!,Reggie Germany
9/1/2002,Buccaneers,,• Ron Warner,suspended by NFL,#VALUE!,Ron Warner
9/1/2002,Saints,,• Victor Riley,placed on reserve/suspended list,#VALUE!,Victor Riley
9/3/2002,Bears,,• Damon Moore,suspended by NFL,#VALUE!,Damon Moore
9/6/2002,Jaguars,,• T.J. Slaughter,suspended by NFL for 4 games for violating the NFL's substance abuse policy,#VALUE!,T.J. Slaughter
9/9/2002,Saints,• Victor Riley,,reinstated from suspension,Victor Riley,#VALUE!
9/11/2002,Falcons,,• Ray Buchanan,suspended by NFL for 4 games for violation of steroid policy,#VALUE!,Ray Buchanan
9/19/2002,Buccaneers,,• Warren Sapp,"fined $10,000 by NFL for slamming opposing player to ground during game",#VALUE!,Warren Sapp
9/23/2002,Bears,• Daimon Shelton,,reinstated from suspension,Daimon Shelton,#VALUE!
9/30/2002,Bears,• Damon Moore,,reinstated from suspension,Damon Moore,#VALUE!
9/30/2002,Bills,• Reggie Germany,,reinstated from suspension,Reggie Germany,#VALUE!
9/30/2002,Buccaneers,• Ron Warner,,reinstated from suspension,Ron Warner,#VALUE!
10/1/2002,Bills,,• Tyrone Robertson,suspended by NFL for 4 games,#VALUE!,Tyrone Robertson
10/1/2002,Bills,,• Tyrone Robertson,placed on reserve/suspended list,#VALUE!,Tyrone Robertson
10/7/2002,Jaguars,• T.J. Slaughter,,reinstated from suspension,T.J. Slaughter,#VALUE!
10/14/2002,Falcons,• Ray Buchanan,,reinstated from suspension,Ray Buchanan,#VALUE!
10/15/2002,Broncos,,• Kenoy Kennedy,placed on reserve/suspended list,#VALUE!,Kenoy Kennedy
10/21/2002,Broncos,• Kenoy Kennedy,,reinstated from suspension,Kenoy Kennedy,#VALUE!
10/21/2002,Titans,,• Samari Rolle,"fined $7,500 by NFL",#VALUE!,Samari Rolle
10/24/2002,Chargers,,• Rodney Harrison,suspended by NFL for 1 games,#VALUE!,Rodney Harrison
10/30/2002,Chargers,,• Rodney Harrison,placed on reserve/suspended list,#VALUE!,Rodney Harrison
10/30/2002,Cowboys,,• Darren Woodson,"fined $75,000 by NFL",#VALUE!,Darren Woodson
10/31/2002,Eagles,,• Brian Dawkins,"fined $50,000 by NFL",#VALUE!,Brian Dawkins
11/1/2002,Jaguars,,• Marcus Stroud,fined $7.5K by NFL for forearm-to-helmet hit of opposing quarterback,#VALUE!,Marcus Stroud
11/1/2002,Raiders,,• Regan Upshaw,"reportedly fined $87,000 by team for getting in shouting match with offensive line coach",#VALUE!,Regan Upshaw
11/1/2002,Ravens,,• James Trapp,"fined $15,000 by NFL for ripping helmet off opposing player",#VALUE!,James Trapp
11/1/2002,Texans,,• Gary Walker (Lamar),"fined $15,000 by NFL for helmet-to-helmet hit on opposing quarterback",#VALUE!,Gary Walker (Lamar)
11/4/2002,Chargers,• Rodney Harrison,,reinstated from suspension,Rodney Harrison,#VALUE!
11/4/2002,Panthers,,• Brentson Buckner,suspended by NFL for 4 games for violating the NFL's steroid policy,#VALUE!,Brentson Buckner
11/5/2002,Chiefs,,• Lewis Bush,suspended by NFL for 4 games for testing positive for a banned substance,#VALUE!,Lewis Bush
11/6/2002,Chiefs,,• Lew Bush,suspended by NFL for 4 games for testing positive for a banned substance,#VALUE!,Lew Bush
11/7/2002,Saints,,• Wally Williams,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Wally Williams
11/8/2002,Patriots,,• Willie McGinest,"fined $7,5000 by NFL",#VALUE!,Willie McGinest
11/8/2002,Vikings,,• Tyrone Carter,fined $5K by NFL,#VALUE!,Tyrone Carter
11/15/2002,Panthers,,• Julius Peppers,suspended by NFL for 4 games,#VALUE!,Julius Peppers
11/20/2002,Panthers,,• Steve Smith / Steve Smith Sr. (Latrall),suspended by team for 1 games for fighting with teammate during team meeting,#VALUE!,Steve Smith / Steve Smith Sr. (Latrall)
11/23/2002,Bengals,,• Reggie Coleman,suspended by team for 1 week,#VALUE!,Reggie Coleman
12/2/2002,Chiefs,• Lewis Bush,,reinstated from suspension,Lewis Bush,#VALUE!
12/2/2002,Panthers,• Brentson Buckner,,reinstated from suspension,Brentson Buckner,#VALUE!
12/2/2002,Saints,• Wally Williams,,reinstated from suspension,Wally Williams,#VALUE!
12/3/2002,Panthers,,• Julius Peppers,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Julius Peppers
12/5/2002,Ravens,,• Javin Hunter,suspended by NFL for 4 games,#VALUE!,Javin Hunter
12/7/2002,Chiefs,• Lew Bush,,activated from suspended list,Lew Bush,#VALUE!
12/11/2002,Giants,,• Ron Dixon,suspended by team for 1 games,#VALUE!,Ron Dixon
12/13/2002,Packers,,• Antuan Edwards,"fined $5,000 by NFL for unnecessary roughness",#VALUE!,Antuan Edwards
12/13/2002,Packers,,• Mike McKenzie (Terrance),"fined $5,000 by NFL for unnecessary roughness",#VALUE!,Mike McKenzie (Terrance)
12/13/2002,Packers,,• Nate Wayne,"fined $5,000 by NFL for unnecessary roughness",#VALUE!,Nate Wayne
12/13/2002,Vikings,,• Chris Walsh,"fined $5,000 by NFL for unnecessary roughness",#VALUE!,Chris Walsh
12/13/2002,Vikings,,• Hunter Goodwin,"fined $10,000 by NFL for unnecessary roughness",#VALUE!,Hunter Goodwin
12/13/2002,Vikings,,• Jim Kleinsasser / Jimmy Kleinsasser,"fined $10,000 by NFL for unnecessary roughness",#VALUE!,Jim Kleinsasser / Jimmy Kleinsasser
12/17/2002,Texans,,• DeMingo Graham,suspended by NFL for 4 games for using banned substance,#VALUE!,DeMingo Graham
12/30/2002,Panthers,• Julius Peppers,,reinstated from suspension,Julius Peppers,#VALUE!
12/30/2002,Ravens,• Javin Hunter,,reinstated from suspension,Javin Hunter,#VALUE!
6/27/2003,Jets,,• Josh Evans (a),suspended by NFL indefinitely for violating the league's substance-abuse policy for the third time,#VALUE!,Josh Evans (a)
7/11/2003,Packers,,• Torrance Marshall,suspended by NFL for first 4 games of 2003 season for violating the league's substance abuse policy,#VALUE!,Torrance Marshall
7/11/2003,Vikings,,• Byron Chamberlain,suspended by NFL for first 4 games of 2003 season for violating the league's policy on banned substances,#VALUE!,Byron Chamberlain
7/25/2003,Lions,,• Matt Millen,president and GM fined $200K by NFL,#VALUE!,Matt Millen
7/26/2003,Broncos,,• Lethon Flowers / Lee Flowers,suspended by NFL for 4 games for violation of the league policy on the team's first four regular-season games for violating the NFL policy on anabolic steroids and related substances,#VALUE!,Lethon Flowers / Lee Flowers
8/4/2003,Cardinals,,• Frank Garcia (Christopher),suspended by NFL for 4 games for positive for the banned substance ephedra,#VALUE!,Frank Garcia (Christopher)
8/29/2003,Saints,,• Derrick Rodgers,suspended by NFL for 1 games for violating the league's personal conduct policy,#VALUE!,Derrick Rodgers
8/30/2003,Cardinals,,• Frank Garcia (Christopher),placed on reserve/suspended list,#VALUE!,Frank Garcia (Christopher)
8/30/2003,Falcons,,• Keith Newman,suspended by NFL for 4 games for violating the league's banned substances policy,#VALUE!,Keith Newman
8/31/2003,49ers,,• Josh Shaw (b. 1979-09-07),placed on reserve/suspended list,#VALUE!,Josh Shaw (b. 1979-09-07)
8/31/2003,Broncos,,• Lethon Flowers / Lee Flowers,placed on reserve/suspended list,#VALUE!,Lethon Flowers / Lee Flowers
8/31/2003,Falcons,,• Keith Newman,placed on reserve/suspended list,#VALUE!,Keith Newman
8/31/2003,Jaguars,,• Jimmy Smith (Lee),placed on reserve/suspended list,#VALUE!,Jimmy Smith (Lee)
8/31/2003,Packers,,• Torrance Marshall,placed on reserve/suspended list,#VALUE!,Torrance Marshall
3/28/2003,Patriots,,• Mike Cloud,placed on reserve/suspended list,#VALUE!,Mike Cloud
8/31/2003,Saints,,• Derrick Rodgers,placed on reserve/suspended list,#VALUE!,Derrick Rodgers
8/31/2003,Vikings,,• Byron Chamberlain,placed on reserve/suspended list,#VALUE!,Byron Chamberlain
8/31/2003,Seahawks,,• Chris Terry,suspended by NFL for 4 games for violating the league's substance abuse policy and personal conduct policy,#VALUE!,Chris Terry
8/31/2003,Seahawks,,• Chris Terry,placed on reserve/suspended list,#VALUE!,Chris Terry
9/8/2003,Saints,• Derrick Rodgers,,reinstated from suspension,Derrick Rodgers,#VALUE!
9/8/2003,Saints,• Derrick Rodgers,,reinstated from reserve/suspended list,Derrick Rodgers,#VALUE!
9/19/2003,Buccaneers,,• Keenan McCardell,"fined $12,500 by NFL for 2 illegal blocks in earlier game",#VALUE!,Keenan McCardell
9/25/2003,Chargers,,• David Boston,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,David Boston
9/26/2003,Rams,,• Scott Shanle,suspended by NFL for 4 games for violating league policy on anabolic steroids and related substances,#VALUE!,Scott Shanle
9/26/2003,Rams,,• Scott Shanle,placed on reserve/suspended list,#VALUE!,Scott Shanle
9/29/2003,Chargers,• David Boston,,reinstated from suspension,David Boston,#VALUE!
9/29/2003,49ers,• Josh Shaw (b. 1979-09-07),,reinstated from suspension,Josh Shaw (b. 1979-09-07),#VALUE!
9/29/2003,Broncos,• Lethon Flowers / Lee Flowers,,reinstated from suspension,Lethon Flowers / Lee Flowers,#VALUE!
9/29/2003,Cardinals,• Frank Garcia (Christopher),,reinstated from suspension,Frank Garcia (Christopher),#VALUE!
9/29/2003,Falcons,• Keith Newman,,reinstated from suspension,Keith Newman,#VALUE!
9/29/2003,Jaguars,• Jimmy Smith (Lee),,reinstated from suspension,Jimmy Smith (Lee),#VALUE!
9/29/2003,Patriots,• Mike Cloud,,reinstated from suspension,Mike Cloud,#VALUE!
9/29/2003,Vikings,• Byron Chamberlain,,reinstated from suspension,Byron Chamberlain,#VALUE!
9/29/2003,49ers,• Josh Shaw (b. 1979-09-07),,reinstated from reserve/suspended list,Josh Shaw (b. 1979-09-07),#VALUE!
9/29/2003,Cardinals,• Frank Garcia (Christopher),,reinstated from suspended list,Frank Garcia (Christopher),#VALUE!
9/30/2003,Packers,• Torrance Marshall,,reinstated from suspension,Torrance Marshall,#VALUE!
10/1/2003,Falcons,,• (Upton) Tyrone Williams,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,(Upton) Tyrone Williams
10/2/2003,Panthers,,• Jordan Gross,fined $5K by NFL,#VALUE!,Jordan Gross
10/6/2003,Falcons,• (Upton) Tyrone Williams,,reinstated from suspension,(Upton) Tyrone Williams,#VALUE!
10/6/2003,Seahawks,• Chris Terry,,reinstated from suspension,Chris Terry,#VALUE!
10/7/2003,Saints,,• Keyuo Craver,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Keyuo Craver
10/14/2003,Buccaneers,,• Warren Sapp,"fined $50,000 by NFL for repeated abusive on-field conduct toward officials",#VALUE!,Warren Sapp
10/23/2003,Bills,,• Izell Reese,"fined $25,000 by NFL",#VALUE!,Izell Reese
10/27/2003,Rams,• Scott Shanle,,reinstated from suspension,Scott Shanle,#VALUE!
10/27/2003,Raiders,• Darrell Russell,,reinstated from suspension,Darrell Russell,#VALUE!
10/28/2003,Saints,,• Grady Jackson,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,Grady Jackson
10/31/2003,Bengals,,• Chad Johnson (a) / Chad Ochocinco,"fined $5,000 by NFL for criticizing the officials",#VALUE!,Chad Johnson (a) / Chad Ochocinco
10/31/2003,Ravens,,• Brian Billick,"fined as head coach $15,000 for criticizing the officials",#VALUE!,Brian Billick
11/3/2003,Browns,,• William Green (a),suspended by team for 1 games for conduct detrimental to the team,#VALUE!,William Green (a)
11/3/2003,Saints,• Keyuo Craver,,reinsted from suspension,Keyuo Craver,#VALUE!
11/4/2003,Jets,• Josh Evans (a),,reinstated from suspension,Josh Evans (a),#VALUE!
11/10/2003,Broncos,,• Mike Anderson (c),suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Mike Anderson (c)
11/14/2003,Browns,,• William Green,suspended by NFL for 4 games for violating his treatment program under the league's substance abuse policy,#VALUE!,William Green
11/14/2003,Steelers,,• Hines Ward,fined by NFL,#VALUE!,Hines Ward
11/15/2003,Browns,,• Gerard Warren,fined $5K by NFL,#VALUE!,Gerard Warren
11/16/2003,Texans,,• Antwan Peek,suspended by team for 1 games,#VALUE!,Antwan Peek
11/16/2003,Texans,,• Marcus Coleman,suspended by team for 1 games,#VALUE!,Marcus Coleman
11/19/2003,Panthers,,• Jarrod Cooper,suspended by NFL (date approximate),#VALUE!,Jarrod Cooper
11/19/2003,Panthers,,• Jarrod Cooper,placed on reserve/suspended list,#VALUE!,Jarrod Cooper
11/20/2003,Broncos,,• Daryl Gardener,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,Daryl Gardener
11/25/2003,Broncos,,• Daryl Gardener,suspended by team for 2 games for conduct detrimental to the team,#VALUE!,Daryl Gardener
12/2/2003,Browns,,• William Green (a),suspension extended by NFL indefinitely,#VALUE!,William Green (a)
12/2/2003,Cardinals,,• Raynoch Thompson,suspended by NFL for remainder of the regular season for violation of the league's substance abuse policy,#VALUE!,Raynoch Thompson
12/8/2003,Broncos,• Mike Anderson (c),,reinstated from suspension,Mike Anderson (c),#VALUE!
12/15/2003,Panthers,• Jarrod Cooper,,reinstated from suspension,Jarrod Cooper,#VALUE!
12/15/2003,Panthers,• Jarrod Cooper,,reinstated from reserve/suspended list,Jarrod Cooper,#VALUE!
12/19/2003,Rams,,• Grant Wistrom,"fined $5,000 by NFL for late hit",#VALUE!,Grant Wistrom
2/4/2004,Browns,• William Green (a),,reinstated from suspension,William Green (a),#VALUE!
2/9/2004,Cardinals,• Raynoch Thompson,,reinstated from suspension,Raynoch Thompson,#VALUE!
6/22/2004,Buccaneers,,• Michael Pittman,suspended by NFL for first 3 games of 2004 season,#VALUE!,Michael Pittman
7/26/2004,,,• Darrell Russell,suspended by NFL indefinitely after testing positive for drugs,#VALUE!,Darrell Russell
8/11/2004,Broncos,,• Reggie Stephens (Dewayne),player left practice,#VALUE!,Reggie Stephens (Dewayne)
8/20/2004,Saints,,• Sedrick Hodge,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Sedrick Hodge
8/30/2004,Saints,,• Keyuo Craver,placed on suspended list,#VALUE!,Keyuo Craver
9/5/2004,Saints,,• Sedrick Hodge,placed on suspended list,#VALUE!,Sedrick Hodge
9/5/2004,Seahawks,,• Wayne Hunter,suspended by NFL,#VALUE!,Wayne Hunter
9/5/2004,Broncos,,• Adrian Madise,suspended by NFL for 4 games for violating the NFL policy on anabolic steroids and related substances,#VALUE!,Adrian Madise
9/5/2004,Cowboys,,• Leonardo Carson,suspended by NFL for 1 games for violating the league's personal conduct policy,#VALUE!,Leonardo Carson
9/5/2004,Vikings,,• Kenny Mixon,suspended by NFL,#VALUE!,Kenny Mixon
9/5/2004,Broncos,,• Adrian Madise,placed on reserve/suspended list,#VALUE!,Adrian Madise
9/5/2004,Cowboys,,• Leonardo Carson,placed on reserve/suspended list,#VALUE!,Leonardo Carson
9/5/2004,Vikings,,• Kenny Mixon,placed on reserve/suspended list,#VALUE!,Kenny Mixon
9/6/2004,49ers,,• Jerome Davis (Devon),suspended by NFL,#VALUE!,Jerome Davis (Devon)
9/6/2004,Cardinals,,• Wendell Bryant,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Wendell Bryant
9/13/2004,Seahawks,• Wayne Hunter,,reinstated from suspension,Wayne Hunter,#VALUE!
9/13/2004,Cowboys,• Leonardo Carson,,reinstated from suspension,Leonardo Carson,#VALUE!
9/15/2004,Broncos,,• John Lynch (Jr.),"fined $7,500 by NFL for hit on opposing player",#VALUE!,John Lynch (Jr.)
9/21/2004,Vikings,• Kenny Mixon,,reinstated from suspension,Kenny Mixon,#VALUE!
9/24/2004,Jets,,• Jon McGraw,"fined $7,500 by NFL",#VALUE!,Jon McGraw
9/27/2004,Buccaneers,• Michael Pittman,,reinstated from suspension,Michael Pittman,#VALUE!
